id,lon,lat
pt_ll_1,-16.3136,41.7024
pt_ll_2,-15.3633728,41.8750272
pt_ll_3,-15.276800000000001,41.7024
pt_ll_4,-14.499200000000002,41.961600000000004
pt_ll_5,-13.548972800000003,41.961600000000004
pt_ll_6,-16.3136,41.7024
pt_ll_7,-16.1409728,41.5297728
pt_ll_8,-16.184,41.313599999999994
pt_ll_9,-16.5728,41.184
pt_ll_10,-16.5728,40.9248
pt_ll_11,-17.0912,40.9248
pt_ll_12,-17.0046272,40.492972800000004
pt_ll_13,-17.8688,40.1472
pt_ll_14,-18.0414272,40.0176
pt_ll_15,-18.0414272,40.0176
pt_ll_16,-16.184,39.6288
pt_ll_17,-15.536000000000001,39.888
pt_ll_18,-14.758400000000002,40.0606272
pt_ll_19,-14.758400000000002,40.0606272
pt_ll_20,-14.9310272,40.492972800000004
pt_ll_21,-15.017600000000002,40.492972800000004
pt_ll_22,-15.1902272,40.6656
pt_ll_23,-14.758400000000002,40.9248
pt_ll_24,-14.412627200000001,41.011372800000004
pt_ll_25,-14.240000000000002,41.184
pt_ll_26,-14.240000000000002,41.313599999999994
pt_ll_27,-14.067372800000001,41.5297728
pt_ll_28,-15.276800000000001,41.356627200000005
pt_ll_29,-15.795200000000001,41.0544
pt_ll_30,-15.276800000000001,40.795199999999994
pt_ll_31,-16.0544,40.492972800000004
pt_ll_32,-16.3136,40.9248
pt_ll_33,-15.536000000000001,40.536
pt_ll_34,-16.3136,40.2337728
pt_ll_35,-14.240000000000002,42.2208
pt_ll_5143,-13.894227200000001,42.2208
pt_ll_36,-13.2032,42.2208
pt_ll_37,-12.944,42.480000000000004
pt_ll_38,-12.425600000000001,42.2208
pt_ll_39,-12.8574272,41.961600000000004
pt_ll_40,-14.240000000000002,39.974572800000004
pt_ll_41,-14.240000000000002,40.9248
pt_ll_42,-14.240000000000002,40.6656
pt_ll_43,-11.129600000000002,42.0481728
pt_ll_44,-11.388800000000002,41.6158272
pt_ll_45,-10.956972800000003,41.4432
pt_ll_46,-10.481600000000002,40.83822719999999
pt_ll_47,-9.5744,41.184
pt_ll_48,-10.092800000000002,41.5297728
pt_ll_49,-9.3152,41.5297728
pt_ll_50,-8.019200000000003,41.5297728
pt_ll_51,-6.982400000000002,41.4432
pt_ll_52,-6.464000000000003,41.4432
pt_ll_53,-5.772972800000003,41.313599999999994
pt_ll_5761,-11.648000000000003,42.0481728
pt_ll_54,-11.993772800000002,41.7024
pt_ll_55,-12.166400000000001,41.4432
pt_ll_56,-12.684800000000003,41.184
pt_ll_57,-12.512172800000004,40.9248
pt_ll_58,-12.425600000000001,40.536
pt_ll_59,-12.944,40.31982719999999
pt_ll_60,-13.030572800000002,40.0176
pt_ll_61,-12.944,39.8014272
pt_ll_62,-13.2032,39.6288
pt_ll_63,-14.240000000000002,39.1104
pt_ll_64,-13.894227200000001,39.2830272
pt_ll_65,-14.067372800000001,38.851200000000006
pt_ll_66,-14.240000000000002,38.592
pt_ll_67,-14.5857728,38.332800000000006
pt_ll_68,-13.9808,38.332800000000006
pt_ll_69,-13.462400000000002,38.332800000000006
pt_ll_70,-13.030572800000002,38.332800000000006
pt_ll_71,-13.721600000000002,37.8144
pt_ll_72,-14.758400000000002,37.4256
pt_ll_73,-16.0544,37.296
pt_ll_74,-15.795200000000001,36.7776
pt_ll_75,-14.758400000000002,36.9072
pt_ll_76,-13.894227200000001,37.1233728
pt_ll_77,-12.8574272,37.20942719999999
pt_ll_78,-12.8574272,37.382572800000005
pt_ll_79,-12.166400000000001,37.5552
pt_ll_80,-11.475372800000002,37.5552
pt_ll_81,-11.129600000000002,37.8144
pt_ll_82,-10.611200000000002,38.0736
pt_ll_83,-5.9456000000000016,41.184
pt_ll_84,-6.2048000000000005,41.011372800000004
pt_ll_85,-6.464000000000003,41.011372800000004
pt_ll_86,-6.982400000000002,41.011372800000004
pt_ll_87,-8.019200000000003,41.011372800000004
pt_ll_88,-7.760000000000001,41.011372800000004
pt_ll_89,-8.019200000000003,40.6656
pt_ll_90,-8.019200000000003,40.536
pt_ll_91,-7.760000000000001,40.4064
pt_ll_92,-8.537600000000001,40.4064
pt_ll_93,-9.056000000000001,40.5790272
pt_ll_94,-9.5744,40.4064
pt_ll_95,-10.352000000000002,40.6656
pt_ll_96,-10.956972800000003,40.4064
pt_ll_97,-11.5614272,40.4064
pt_ll_98,-11.518400000000002,39.888
pt_ll_99,-11.129600000000002,39.6288
pt_ll_100,-11.000000000000002,39.456172800000004
pt_ll_101,-11.129600000000002,39.369600000000005
pt_ll_102,-11.388800000000002,38.9377728
pt_ll_103,-11.216172800000002,38.9377728
pt_ll_104,-11.000000000000002,38.635027199999996
pt_ll_105,-11.5614272,38.592
pt_ll_106,-11.388800000000002,38.332800000000006
pt_ll_107,-10.611200000000002,38.0736
pt_ll_108,-12.166400000000001,41.356627200000005
pt_ll_109,-11.5614272,41.5297728
pt_ll_110,-12.166400000000001,40.9248
pt_ll_111,-12.425600000000001,40.83822719999999
pt_ll_112,-11.648000000000003,41.011372800000004
pt_ll_113,-12.166400000000001,40.6656
pt_ll_114,-11.259200000000002,40.7521728
pt_ll_115,-10.956972800000003,41.184
pt_ll_116,-10.870400000000002,40.83822719999999
pt_ll_5144,-10.222400000000002,41.0974272
